sept20_publishFINAL
Operator,Technology1,Upload or Download,Speed,Signal Strength,Location
AIRTEL,4G,upload,1200,-88,Rajasthan
AIRTEL,4G,upload,735,-107,Rajasthan
AIRTEL,4G,upload,272,-98,Rajasthan
AIRTEL,4G,upload,2205,-108,Rajasthan
AIRTEL,4G,upload,13768,-98,Rajasthan
JIO,4G,download,79970,-65,Kerala
JIO,4G,download,78490,-65,Kerala
JIO,4G,download,79347,-65,Kerala
JIO,4G,upload,7679,-65,Kerala
JIO,4G,upload,8836,-65,Kerala
JIO,4G,upload,7506,-65,Kerala
JIO,4G,download,3960,-101,Haryana
JIO,4G,download,6738,-101,Haryana
JIO,4G,upload,1862,-101,Haryana
JIO,4G,upload,2486,-103,Haryana
JIO,4G,download,2857,-85,Gujarat
JIO,4G,download,503,-96,Gujarat
JIO,4G,upload,2386,-85,Gujarat
JIO,4G,upload,688,-96,Gujarat
JIO,4G,download,851,-81,UP East
JIO,4G,download,1371,-79,UP East
JIO,4G,download,509,-65,UP East
JIO,4G,download,5643,-67,UP East
JIO,4G,download,1549,na,UP East
JIO,4G,download,5299,na,UP East
JIO,4G,download,545,-67,UP East
JIO,4G,download,782,na,UP East
JIO,4G,download,1968,-75,UP East
JIO,4G,download,3570,-65,UP East
JIO,4G,download,1033,na,UP East
JIO,4G,download,474,-81,UP East
JIO,4G,download,2791,na,UP East
JIO,4G,download,252,-61,UP East
JIO,4G,download,4373,-61,UP East
JIO,4G,download,3365,-63,UP East
JIO,4G,download,93,-59,UP East
JIO,4G,download,353,-75,UP East
JIO,4G,download,418,na,UP East
JIO,4G,download,64,-67,UP East
JIO,4G,download,6787,na,UP East
VODAFONE,4G,download,1607,-77,UP East
VODAFONE,4G,download,601,-85,UP East
VODAFONE,4G,download,282,-77,UP East
VODAFONE,4G,upload,967,-77,UP East
VODAFONE,4G,upload,396,-85,UP East
VODAFONE,4G,upload,1730,-77,UP East
AIRTEL,4G,download,817,na,Kerala
AIRTEL,4G,download,722,na,Kerala
AIRTEL,4G,download,14596,-80,Madhya Pradesh
AIRTEL,4G,download,6767,-80,Madhya Pradesh
AIRTEL,4G,download,2481,-102,Madhya Pradesh
AIRTEL,4G,upload,5572,-80,Madhya Pradesh
AIRTEL,4G,upload,4575,-80,Madhya Pradesh
